k,recall,precision,ndcg,map
1,0.000000,0.000000,0.000000,0.000000
2,0.003571,0.001786,0.002253,0.001786
3,0.003571,0.001190,0.002253,0.001786
4,0.003571,0.000893,0.002253,0.001786
5,0.012500,0.002500,0.005707,0.003571
6,0.014286,0.002381,0.006343,0.003869
7,0.014286,0.002041,0.006343,0.003869
8,0.019643,0.002455,0.008033,0.004539
9,0.021429,0.002381,0.008571,0.004737
10,0.023214,0.002321,0.009087,0.004916
11,0.023214,0.002110,0.009087,0.004916
12,0.025000,0.002083,0.009570,0.005064
13,0.028571,0.002198,0.010508,0.005339
14,0.033929,0.002423,0.011879,0.005722
15,0.033929,0.002262,0.011879,0.005722
16,0.033929,0.002121,0.011879,0.005722
17,0.033929,0.001996,0.011879,0.005722
18,0.033929,0.001885,0.011879,0.005722
19,0.035714,0.001880,0.012292,0.005816
20,0.037500,0.001875,0.012699,0.005905
21,0.037500,0.001786,0.012699,0.005905
22,0.039286,0.001786,0.013093,0.005986
23,0.039286,0.001708,0.013093,0.005986
24,0.039286,0.001637,0.013093,0.005986
25,0.041071,0.001643,0.013473,0.006058
26,0.041071,0.001580,0.013473,0.006058
27,0.041071,0.001521,0.013473,0.006058
28,0.041071,0.001467,0.013473,0.006058
29,0.075000,0.002586,0.020388,0.007228
30,0.075000,0.002500,0.020388,0.007228
