k,precision,recall,ndcg,map,num_evaluated
1,0.068548,0.068548,0.068548,0.068548,248
2,0.078629,0.157258,0.124518,0.112903,248
3,0.067204,0.201613,0.146695,0.127688,248
4,0.078629,0.314516,0.195320,0.155914,248
5,0.062903,0.314516,0.195320,0.155914,248
6,0.054435,0.326613,0.199629,0.157930,248
7,0.050115,0.350806,0.207694,0.161386,248
8,0.044859,0.358871,0.210238,0.162394,248
9,0.042115,0.379032,0.216307,0.164635,248
10,0.038306,0.383065,0.217472,0.165038,248
11,0.035924,0.395161,0.220847,0.166137,248
12,0.033602,0.403226,0.223026,0.166810,248
13,0.031638,0.411290,0.225144,0.167430,248
14,0.030242,0.423387,0.228240,0.168294,248
15,0.030914,0.463710,0.238321,0.170982,248
16,0.028982,0.463710,0.238321,0.170982,248
17,0.027277,0.463710,0.238321,0.170982,248
18,0.025986,0.467742,0.239270,0.171206,248
19,0.024618,0.467742,0.239270,0.171206,248
20,0.023387,0.467742,0.239270,0.171206,248
21,0.022273,0.467742,0.239270,0.171206,248
22,0.021811,0.479839,0.241945,0.171756,248
23,0.021038,0.483871,0.242824,0.171931,248
24,0.020161,0.483871,0.242824,0.171931,248
25,0.019516,0.487903,0.243682,0.172093,248
26,0.018921,0.491935,0.244530,0.172248,248
27,0.018369,0.495968,0.245369,0.172397,248
28,0.017857,0.500000,0.246199,0.172541,248
29,0.017241,0.500000,0.246199,0.172541,248
30,0.016667,0.500000,0.246199,0.172541,248
