Top-K,Recall,Precision,NDCG,MAP
1,0.078571,0.078571,0.078571,0.078571
2,0.142857,0.072321,0.119131,0.110714
3,0.180357,0.061607,0.137881,0.123214
4,0.212500,0.054911,0.151724,0.131250
5,0.264286,0.055000,0.171758,0.141607
6,0.303571,0.052976,0.185752,0.148155
7,0.317857,0.048044,0.190514,0.150196
8,0.333929,0.044600,0.195584,0.152205
9,0.346429,0.041550,0.199346,0.153593
10,0.362500,0.039506,0.203992,0.155201
11,0.375000,0.037526,0.207479,0.156337
12,0.378571,0.035145,0.208444,0.156635
13,0.387500,0.033565,0.210789,0.157321
14,0.394643,0.032093,0.212617,0.157832
15,0.398214,0.030580,0.213510,0.158070
16,0.401786,0.029270,0.214384,0.158293
17,0.407143,0.028220,0.215669,0.158608
18,0.410714,0.027187,0.216509,0.158806
19,0.419643,0.026545,0.218575,0.159276
20,0.425000,0.025793,0.219795,0.159544
21,0.426786,0.024942,0.220195,0.159629
22,0.430357,0.024250,0.220985,0.159792
23,0.450000,0.024317,0.225269,0.160646
24,0.457143,0.023861,0.226807,0.160943
25,0.458929,0.023233,0.227187,0.161015
26,0.458929,0.022588,0.227187,0.161015
27,0.462500,0.022122,0.227930,0.161147
28,0.469643,0.021818,0.229400,0.161402
29,0.473214,0.021413,0.230128,0.161525
30,0.478571,0.021097,0.231210,0.161704
