Popular推荐算法评估报告
==================================================
评估时间: 2025-09-24_16-11-30
数据路径: e:\data\merge\SR_GNN_NEW\data
API总数: 679
训练序列数: 99234
测试序列数: 560
最受欢迎的API: 255 (出现22694次)

详细结果:
--------------------------------------------------
Top-K  Recall     Precision  NDCG       MAP       
--------------------------------------------------
1      0.048214   0.048214   0.048214   0.048214  
2      0.103571   0.051786   0.083141   0.075893  
3      0.144643   0.048214   0.103676   0.089583  
4      0.228571   0.057143   0.139823   0.110565  
5      0.228571   0.045714   0.139823   0.110565  
6      0.235714   0.039286   0.142367   0.111756  
7      0.253571   0.036224   0.148319   0.114307  
8      0.262500   0.032813   0.151136   0.115423  
9      0.280357   0.031151   0.156511   0.117407  
10     0.291071   0.029107   0.159609   0.118479  
11     0.298214   0.027110   0.161601   0.119128  
12     0.307143   0.025595   0.164014   0.119872  
13     0.317857   0.024451   0.166828   0.120696  
14     0.326786   0.023342   0.169113   0.121334  
15     0.362500   0.024167   0.178042   0.123715  
16     0.366071   0.022879   0.178916   0.123938  
17     0.371429   0.021849   0.180200   0.124253  
18     0.376786   0.020933   0.181461   0.124551  
19     0.378571   0.019925   0.181875   0.124645  
20     0.380357   0.019018   0.182281   0.124734  
21     0.380357   0.018112   0.182281   0.124734  
22     0.387500   0.017614   0.183860   0.125059  
23     0.389286   0.016925   0.184250   0.125136  
24     0.391071   0.016295   0.184634   0.125211  
25     0.392857   0.015714   0.185014   0.125282  
26     0.394643   0.015179   0.185390   0.125351  
27     0.400000   0.014815   0.186504   0.125549  
28     0.403571   0.014413   0.187239   0.125677  
29     0.403571   0.013916   0.187239   0.125677  
30     0.403571   0.013452   0.187239   0.125677  
